"ID";"Reisender";"Titel";"Standort";"Stand";"Original";"Bearbeitungsvermerk";"Reisezeit";"KA";"KE";"Koordinaten";"Band"
1;Abassi, Ali Bey el;"Abassi, Ali Bey el: Viaggi in Africa ed in Asia d'all anno 1803-7.  Trad. da. Ticozzi. 2 Bde. Milano 1816-1817. 
";Röhricht 1607;1;3;0;;61;99;;0
2;Abassi, Ali Bey el;"Abassi, Ali Bey el: Travels of Ali Bey in Marocco, Tripoli, Cyprus,  Egypt, Arabia, Syria and Turkey between the years 1803 and 1807.  2 Bde. London 1816. 
";Röhricht 1607;1;3;0;;61;99;;0
3;Abassi, Ali Bey el;"Abassi, Ali Bey el: Ali Bey el-Abassi Reiser i Africa og Asien,  Overs. ved Niels Thoroup Bruun. 3 Bde. Kojbenhaven 1818. 
In: Magazin for de allernyeste og interessanteste Reisebeskrivelser overs. ved Niels Thoroup Bruun, No. III u. IV. 
";Röhricht 1607;1;3;0;;61;99;;0
4;Abassi, Ali Bey el;"Abassi, Ali Bey el: Voyage d'Ali Bey el-Abassi en Afrique et en Asie pendant les années 1803-7. 3 Bde. Paris 1814. 
Dazu: Planches composant l'Atlas des voyages d'Ali Bey dans la Barbarie, Chypre, l'Egypte, la Mecque, la Palestine, la Syrie, l'Asie Mineure avec l'explication. Paris 1814. 
";Röhricht 1607;1;3;0;;61;99;;0
5;Abassi, Ali Bey el;"Abassi, Ali Bey el: Reisen in Afrika und Asien in den Jahren 1803 und 1807. 2 Bde. Weimar 1916. 
(= Bibliothek d. Reisebeschreibungen, hrsg. von Friedrich Justin Bertuch. No VII+VIII. )
";UB Bonn;2;3;0;;61;99;;0
6;Abbott, George Frederic;"Abbott, George Frederic: The tale of a tour in Macedonia. 
London 1903, 337p. , ill. 
";Gen: GT1417. 1(I, 10;1;1;1;;10;29;;0
7;Aboul Hassan al-Harawi;"Aboul Hassan al-Harawi: Fragments from the work Les monuments des pays et l'histoire des serviteurs (de dieu) by the Persian geographer Zakarija al Kazwini. In: Quelques remarques sur les voyageurs du Moyen-Age à Constantinople, hrsg. von A. A. Vasiliev, Mélanges Chr.  Diehl. Paris 1930, 294-296. 
";Vin               ;1;1;4;;18;18;;0
8;Aboul Hassan al-Harawi;"Aboul Hassan al-Harawi: Aboul Hassan Aly el Harewi. Indications sur les lieux de Pèlerinage, hrsg. von Ch. Schefer. In: Archives de l' Orient latin vol. 1, 1881, 587-609. 
";Kopie Hilang;2;1;0;;18;18;;0
9;Aboulfeda;"Aboulfeda: Géographie d'Aboulféda (Taqwim al-buldan), hrsg. u. übers.  v. Joseph-Toussaint Reinaud. 2 Bde. Paris 1848. Reprint Frankfurt a.  M. 1985. 
";StUB Frankfurt     ;2;3;0;;255;0;;0
10;Aboulfeda;"Aboulfeda: Géographie d'Aboulféda. 1. Bd. Paris 1848, 446p. 
";StUB Frankfurt;4;3;0;;255;0;;1
