"ID";"Reisebericht";"Koordinate";"Stand";"Jahrvon";"Jahrbis"
1;1;981;1;1803;1807
2;1;1032;1;1803;1807
3;1;1131;1;1803;1807
4;1;1183;1;1803;1807
5;2;981;1;1803;1807
6;2;1032;1;1803;1807
7;2;1131;1;1803;1807
8;2;1182;1;1803;1807
9;3;981;1;1803;1807
10;3;1032;1;1803;1807
11;3;1131;1;1803;1807
12;3;1182;1;1803;1807
13;4;981;1;1803;1807
14;4;1032;1;1803;1807
15;4;1131;1;1803;1807
16;4;1182;1;1803;1807
17;5;981;2;1803;1807
18;5;1032;2;1803;1807
19;5;1131;2;1803;1807
20;5;1182;2;1803;1807
21;6;169;1;1900;1900
22;6;219;1;1900;1900
23;6;220;1;1900;1900
24;6;272;1;1900;1900
25;6;274;1;1900;1900
26;6;326;1;1900;1900
27;6;371;1;1900;1900
28;6;479;1;1900;1900
29;7;293;1;1160;1174
30;7;294;1;1160;1174
31;8;293;2;1160;1174
32;8;294;2;1160;1174
33;11;293;2;1273;1321
34;11;294;2;1273;1321
35;11;497;2;1273;1321
36;11;832;2;1273;1321
37;11;833;2;1273;1321
38;11;884;2;1273;1321
39;11;935;2;1273;1321
40;12;293;2;1834;1884
41;12;294;2;1834;1884
42;15;293;1;1166;1166
43;15;294;1;1166;1166
44;15;825;1;1166;1166
45;15;826;1;1166;1166
46;15;827;1;1166;1166
47;15;875;1;1166;1166
48;15;876;1;1166;1166
49;15;877;1;1166;1166
50;15;878;1;1166;1166
51;15;879;1;1166;1166
52;15;880;1;1166;1166
53;15;925;1;1166;1166
54;15;926;1;1166;1166
55;15;927;1;1166;1166
56;15;928;1;1166;1166
57;15;929;1;1166;1166
58;15;930;1;1166;1166
59;15;931;1;1166;1166
60;15;932;1;1166;1166
61;15;933;1;1166;1166
62;15;977;1;1166;1166
63;15;978;1;1166;1166
64;15;979;1;1166;1166
65;15;980;1;1166;1166
66;15;981;1;1166;1166
67;15;982;1;1166;1166
68;15;983;1;1166;1166
69;15;984;1;1166;1166
70;15;985;1;1166;1166
71;15;1029;1;1166;1166
72;15;1030;1;1166;1166
73;15;1031;1;1166;1166
74;15;1032;1;1166;1166
75;15;1033;1;1166;1166
76;15;1034;1;1166;1166
77;15;1080;1;1166;1166
78;15;1081;1;1166;1166
79;15;1082;1;1166;1166
80;15;1083;1;1166;1166
81;15;1084;1;1166;1166
82;15;1085;1;1166;1166
83;15;1131;1;1166;1166
84;15;1132;1;1166;1166
85;15;1133;1;1166;1166
86;15;1134;1;1166;1166
87;15;1135;1;1166;1166
88;15;1136;1;1166;1166
89;15;1137;1;1166;1166
90;15;1183;1;1166;1166
91;15;1185;1;1166;1166
92;15;1186;1;1166;1166
93;15;1187;1;1166;1166
94;15;1188;1;1166;1166
95;15;1236;1;1166;1166
96;15;1239;1;1166;1166
97;17;537;1;1789;1839
98;19;437;2;1835;1835
99;19;885;2;1835;1835
100;19;931;2;1835;1835
101;19;934;2;1835;1835
102;19;983;2;1835;1835
103;19;1042;2;1835;1835
104;19;1044;2;1835;1835
105;21;293;1;1845;1845
106;21;294;1;1845;1845
107;21;847;1;1845;1845
108;21;1258;1;1845;1845
109;21;1259;1;1845;1845
110;21;1308;1;1845;1845
111;21;1309;1;1845;1845
112;21;1310;1;1845;1845
113;21;1360;1;1845;1845
114;23;932;2;1759;1809
115;23;1103;2;1759;1809
116;23;1205;2;1759;1809
117;23;1212;2;1759;1809
118;23;1258;2;1759;1809
119;23;1259;2;1759;1809
120;23;1309;2;1759;1809
121;23;1310;2;1759;1809
